Date,Race Number,Place,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declare. Horse Wt.,Draw,LBW,Running Position,Finish Time,Win Odds
15/07/2020,1,1,12,MONEY WINNERMONEY WINNER(A055),C WongC Wong,Y S TsuiY S Tsui,108,1027,7,-,"['12', '12', '12', '12', '1']",1:49.79,22
15/07/2020,1,2,2,BUNDLE OF ENERGYBUNDLE OF ENERGY(B279),Z PurtonZ Purton,D J HallD J Hall,130,1142,10,HD,"['9', '11', '11', '10', '2']",1:49.82,3.7
15/07/2020,1,3,4,BABY STORMBABY STORM(C500),C L ChauC L Chau,L HoL Ho,119,1044,12,1-1/4,"['1', '1', '1', '1', '3']",1:49.99,10
15/07/2020,1,4,3,HAY RUNHAY RUN(V337),V BorgesV Borges,L HoL Ho,130,1107,11,1-3/4,"['5', '3', '2', '2', '4']",1:50.05,10
15/07/2020,1,5,11,MONEY MARSHALMONEY MARSHAL(B134),H T MoH T Mo,D E FerrarisD E Ferraris,110,1153,8,2-3/4,"['11', '9', '6', '3', '5']",1:50.21,16
15/07/2020,1,6,7,SUCCESS ALLSTARSSUCCESS ALLSTARS(D065),H W LaiH W Lai,D E FerrarisD E Ferraris,127,963,6,3-1/2,"['10', '10', '10', '11', '6']",1:50.34,120
15/07/2020,1,7,10,BRING IT ONBRING IT ON(V407),T H SoT H So,C H YipC H Yip,118,1160,1,3-3/4,"['3', '4', '3', '5', '7']",1:50.37,13
15/07/2020,1,8,8,KEEP WINNINGKEEP WINNING(B331),M L YeungM L Yeung,C W ChangC W Chang,122,1139,4,4,"['6', '5', '5', '7', '8']",1:50.41,32
15/07/2020,1,9,9,GREAT SMARTGREAT SMART(C319),M ChadwickM Chadwick,K L ManK L Man,121,1213,5,4,"['4', '6', '8', '8', '9']",1:50.43,3.9
15/07/2020,1,10,6,TURF BRILLIANTTURF BRILLIANT(C456),K TeetanK Teetan,W Y SoW Y So,129,1111,3,4-1/4,"['7', '8', '9', '6', '10']",1:50.45,5.8
15/07/2020,1,11,1,POLYMER LUCKPOLYMER LUCK(T326),C SchofieldC Schofield,K H TingK H Ting,133,1077,9,4-1/2,"['2', '2', '4', '4', '11']",1:50.53,13
15/07/2020,1,12,5,JOY N FUN LEGENDJOY N FUN LEGEND(D012),K C LeungK C Leung,T P YungT P Yung,129,1138,2,5,"['8', '7', '7', '9', '12']",1:50.59,47
15/07/2020,2,1,4,OVERSUBSCRIBEDOVERSUBSCRIBED(C361),Z PurtonZ Purton,D J HallD J Hall,131,1139,2,-,"['5', '3', '1']",0:57.27,5.1
15/07/2020,2,2,5,CHUNGHWA JINGSHENCHUNGHWA JINGSHEN(D148),B ShinnB Shinn,L HoL Ho,127,1118,5,N,"['6', '6', '2']",0:57.33,11
15/07/2020,2,3,9,SHOW MISSIONSHOW MISSION(T436),K C LeungK C Leung,C W ChangC W Chang,120,1120,11,1/2,"['9', '7', '3']",0:57.37,30
15/07/2020,2,4,3,VITAL SPRINGVITAL SPRING(A057),C Y HoC Y Ho,K W LuiK W Lui,132,1143,7,1/2,"['10', '10', '4']",0:57.37,7.3
15/07/2020,2,5,6,LA BOMBALA BOMBA(B143),C L ChauC L Chau,K L ManK L Man,114,1083,1,1-1/4,"['8', '9', '5']",0:57.46,4.7
15/07/2020,2,6,10,JIMSON THE DRAGONJIMSON THE DRAGON(C017),K H ChanK H Chan,C H YipC H Yip,111,1028,10,2,"['7', '8', '6']",0:57.59,25
15/07/2020,2,7,7,FAIRY FLOSSFAIRY FLOSS(C236),C SchofieldC Schofield,K H TingK H Ting,121,1062,3,2,"['1', '1', '7']",0:57.61,9.7
15/07/2020,2,8,8,FLYING MONKEYFLYING MONKEY(T361),V BorgesV Borges,J MooreJ Moore,121,1068,9,2-1/4,"['2', '4', '8']",0:57.62,4.5
15/07/2020,2,9,2,APOLLOS BOWAPOLLOS BOW(C384),C WongC Wong,Y S TsuiY S Tsui,127,1175,6,2-1/4,"['3', '2', '9']",0:57.62,33
15/07/2020,2,10,11,BANDYBANDY(C282),K TeetanK Teetan,A T MillardA T Millard,113,1001,8,3-3/4,"['4', '5', '10']",0:57.87,12
15/07/2020,2,11,1,I'M THE CONQUISTI'M THE CONQUIST(B155),H N WongH N Wong,P O'SullivanP O'Sullivan,130,1075,4,3-3/4,"['11', '11', '11']",0:57.88,19
15/07/2020,2,12,12,GUERDON HELMETGUERDON HELMET(B007),H W LaiH W Lai,D E FerrarisD E Ferraris,113,1063,12,7-1/4,"['12', '12', '12']",0:58.43,43
15/07/2020,3,1,3,POWER KINGPOWER KING(C420),C Y HoC Y Ho,A S CruzA S Cruz,128,1120,6,-,"['7', '7', '1']",1:09.64,4.4
15/07/2020,3,2,4,SELL MY SOLESELL MY SOLE(D332),V BorgesV Borges,J SizeJ Size,127,1147,1,N,"['2', '2', '2']",1:09.69,2.3
15/07/2020,3,3,1,HONEST WAYHONEST WAY(B200),Z PurtonZ Purton,D E FerrarisD E Ferraris,132,1252,8,1-1/4,"['9', '9', '3']",1:09.85,6.1
15/07/2020,3,4,6,DIAMOND RHYMEDIAMOND RHYME(B183),C WongC Wong,F C LorF C Lor,118,1068,9,1-1/2,"['6', '4', '4']",1:09.89,74
15/07/2020,3,5,8,HAPPY TANGOHAPPY TANGO(D075),K TeetanK Teetan,D J WhyteD J Whyte,121,1208,5,1-3/4,"['8', '8', '5']",1:09.90,12
15/07/2020,3,6,5,AMAZINGAMAZING(A202),K C LeungK C Leung,T P YungT P Yung,124,1123,12,2,"['12', '12', '6']",1:09.94,46
15/07/2020,3,7,9,EVERBRAVEEVERBRAVE(A364),M ChadwickM Chadwick,K L ManK L Man,120,1199,3,2,"['3', '3', '7']",1:09.95,27
15/07/2020,3,8,11,STOCK LEGENDSTOCK LEGEND(D039),M L YeungM L Yeung,K H TingK H Ting,118,1090,7,3,"['4', '5', '8']",1:10.13,19
15/07/2020,3,9,12,THE SHOWTHE SHOW(T256),K H ChanK H Chan,C W ChangC W Chang,110,1105,2,3-1/2,"['5', '6', '9']",1:10.21,24
15/07/2020,3,10,2,VERY RICH MANVERY RICH MAN(V286),H T MoH T Mo,L HoL Ho,127,1066,10,3-3/4,"['1', '1', '10']",1:10.25,21
15/07/2020,3,11,7,SUPER KINSUPER KIN(C011),C SchofieldC Schofield,C FownesC Fownes,123,1283,11,4-3/4,"['11', '11', '11']",1:10.41,12
15/07/2020,3,12,10,LUCKY GUYLUCKY GUY(T349),M F PoonM F Poon,C H YipC H Yip,118,1215,4,6,"['10', '10', '12']",1:10.58,48
15/07/2020,4,1,12,LUCKY MISSILELUCKY MISSILE(C501),M F PoonM F Poon,D J HallD J Hall,114,1109,5,-,"['7', '7', '7', '1']",1:39.20,9.4
15/07/2020,4,2,5,UNIVERSAL GO GOUNIVERSAL GO GO(B132),C Y HoC Y Ho,K W LuiK W Lui,125,1097,3,1,"['5', '6', '5', '2']",1:39.36,3.9
15/07/2020,4,3,8,INCANTO PREPAREDINCANTO PREPARED(D009),C SchofieldC Schofield,J SizeJ Size,120,976,2,1-3/4,"['6', '5', '6', '3']",1:39.48,5.5
15/07/2020,4,4,7,GO BALLISTICGO BALLISTIC(C493),K TeetanK Teetan,D E FerrarisD E Ferraris,120,1112,6,1-3/4,"['8', '9', '9', '4']",1:39.49,6.3
15/07/2020,4,5,2,PARTY TOGETHERPARTY TOGETHER(C210),Z PurtonZ Purton,L HoL Ho,132,1044,7,3,"['3', '4', '4', '5']",1:39.67,5.1
15/07/2020,4,6,3,BIG BANG BONGBIG BANG BONG(V186),B ShinnB Shinn,C W ChangC W Chang,127,1104,12,3,"['12', '11', '10', '6']",1:39.68,36
15/07/2020,4,7,1,DYNAMIC EAGLEDYNAMIC EAGLE(B072),C L ChauC L Chau,C S ShumC S Shum,123,1193,4,3-1/4,"['9', '8', '8', '7']",1:39.73,32
15/07/2020,4,8,9,MY FAMILYMY FAMILY(C187),K C LeungK C Leung,Y S TsuiY S Tsui,120,1157,11,8-1/4,"['11', '12', '12', '8']",1:40.51,45
15/07/2020,4,9,10,SUPER WINNERSUPER WINNER(C341),K H ChanK H Chan,C H YipC H Yip,111,1202,8,9,"['1', '1', '1', '9']",1:40.66,15
15/07/2020,4,10,11,HAPPY ICHIBANHAPPY ICHIBAN(D037),V BorgesV Borges,D J WhyteD J Whyte,117,1248,10,10-3/4,"['2', '2', '2', '10']",1:40.91,7.9
15/07/2020,4,11,4,THE DRIVETHE DRIVE(C479),M ChadwickM Chadwick,T P YungT P Yung,125,1137,9,14,"['10', '10', '11', '11']",1:41.45,70
15/07/2020,4,12,6,LAOS ENLIGHTENMENTLAOS ENLIGHTENMENT(C291),M L YeungM L Yeung,J MooreJ Moore,121,987,1,14-1/4,"['4', '3', '3', '12']",1:41.48,37
15/07/2020,5,1,6,KINDA COOLKINDA COOL(D297),Z PurtonZ Purton,F C LorF C Lor,128,1072,5,-,"['2', '3', '1']",1:09.97,1.9
15/07/2020,5,2,8,JAZZ STEEDJAZZ STEED(C406),C SchofieldC Schofield,C FownesC Fownes,126,1233,11,1/2,"['7', '6', '2']",1:10.07,4.7
15/07/2020,5,3,7,HERCULESHERCULES(C476),T H SoT H So,C H YipC H Yip,124,1043,8,2-3/4,"['12', '11', '3']",1:10.40,41
15/07/2020,5,4,5,HOME MADEHOME MADE(D069),K TeetanK Teetan,Y S TsuiY S Tsui,130,1201,1,2-3/4,"['6', '5', '4']",1:10.43,8.8
15/07/2020,5,5,3,HAPPY GOOD GUYSHAPPY GOOD GUYS(B466),C L ChauC L Chau,P F YiuP F Yiu,122,1121,4,3-1/4,"['1', '2', '5']",1:10.50,5.8
15/07/2020,5,6,9,DESTINE JEWELLERYDESTINE JEWELLERY(D032),V BorgesV Borges,J SizeJ Size,125,1156,10,4,"['10', '10', '6']",1:10.60,30
15/07/2020,5,7,1,HERO TIMEHERO TIME(B010),B ShinnB Shinn,R GibsonR Gibson,133,1116,3,6-1/4,"['5', '4', '7']",1:10.99,20
15/07/2020,5,8,11,DEMONS ROCKDEMONS ROCK(B263),M F PoonM F Poon,D J HallD J Hall,116,1077,9,7,"['3', '1', '8']",1:11.08,33
15/07/2020,5,9,4,STAY CHILLSTAY CHILL(D189),M L YeungM L Yeung,W Y SoW Y So,132,1003,6,7,"['8', '7', '9']",1:11.11,165
15/07/2020,5,10,10,STRONG PROMISESTRONG PROMISE(C527),K C LeungK C Leung,T P YungT P Yung,121,1056,2,7-1/2,"['9', '8', '10']",1:11.17,77
15/07/2020,5,11,12,RED ZOFFANYRED ZOFFANY(D211),C Y HoC Y Ho,K L ManK L Man,117,1052,7,8-1/2,"['11', '12', '11']",1:11.32,106
15/07/2020,5,DNF,2,CONFUCIUS DAYCONFUCIUS DAY(C272),K H ChanK H Chan,C W ChangC W Chang,125,1162,12,---,"['4', '9', '']",---,36
15/07/2020,6,1,12,THE RUNNERTHE RUNNER(D042),C Y HoC Y Ho,D J WhyteD J Whyte,117,1106,1,-,"['7', '7', '1']",1:09.27,10
15/07/2020,6,2,2,CALIFORNIA RADCALIFORNIA RAD(D147),K TeetanK Teetan,A S CruzA S Cruz,132,1192,11,N,"['5', '4', '2']",1:09.33,3.7
15/07/2020,6,3,6,HIGH RISE SOLDIERHIGH RISE SOLDIER(C511),Z PurtonZ Purton,K W LuiK W Lui,125,1006,9,1,"['11', '11', '3']",1:09.45,8.4
15/07/2020,6,4,7,FLYING BONUSFLYING BONUS(B433),K H ChanK H Chan,C H YipC H Yip,116,1198,2,1-1/4,"['1', '1', '4']",1:09.46,9.7
15/07/2020,6,5,9,LORIZLORIZ(C036),K C LeungK C Leung,P F YiuP F Yiu,119,1238,6,1-1/4,"['3', '3', '5']",1:09.46,9
15/07/2020,6,6,8,LE TERROIRLE TERROIR(B403),M F PoonM F Poon,L HoL Ho,117,1111,7,1-3/4,"['8', '6', '6']",1:09.55,7.4
15/07/2020,6,7,5,TAKE WHAT YOU NEEDTAKE WHAT YOU NEED(C474),V BorgesV Borges,J MooreJ Moore,126,1034,4,2-1/2,"['4', '5', '7']",1:09.68,6.7
15/07/2020,6,8,11,CHIKORITACHIKORITA(D230),M ChadwickM Chadwick,C W ChangC W Chang,117,1274,3,4,"['9', '8', '8']",1:09.93,12
15/07/2020,6,9,10,LONDON LUCKYSTARLONDON LUCKYSTAR(C368),H W LaiH W Lai,D E FerrarisD E Ferraris,118,986,12,4-1/2,"['10', '9', '9']",1:09.99,86
15/07/2020,6,10,1,SPEED VISIONSPEED VISION(B211),C WongC Wong,F C LorF C Lor,128,1184,8,5,"['2', '2', '10']",1:10.08,49
15/07/2020,6,11,3,GOOD FOR YOUGOOD FOR YOU(T265),C L ChauC L Chau,Y S TsuiY S Tsui,117,1039,10,6-1/2,"['12', '12', '11']",1:10.30,13
15/07/2020,6,12,4,BABYBABY(C271),T H SoT H So,K H TingK H Ting,124,1114,5,8,"['6', '10', '12']",1:10.55,21
15/07/2020,7,1,1,BEAR AGAINBEAR AGAIN(C301),B ShinnB Shinn,D E FerrarisD E Ferraris,132,1038,2,-,"['1', '2', '2', '1']",1:40.12,5.2
15/07/2020,7,2,3,ALPHA HEDGEALPHA HEDGE(B102),Z PurtonZ Purton,K W LuiK W Lui,130,1218,4,N,"['4', '6', '6', '2']",1:40.16,2.8
15/07/2020,7,3,7,SHAMPORTSHAMPORT(B167),C Y HoC Y Ho,C FownesC Fownes,119,1071,7,1-3/4,"['2', '4', '4', '3']",1:40.40,7.9
15/07/2020,7,4,4,CINQUANTE CINQCINQUANTE CINQ(B404),C L ChauC L Chau,T P YungT P Yung,120,1054,1,2,"['5', '7', '7', '4']",1:40.46,9.7
15/07/2020,7,5,6,BEST ALLIANCEBEST ALLIANCE(C284),V BorgesV Borges,D J WhyteD J Whyte,119,1062,11,2-1/2,"['6', '5', '5', '5']",1:40.52,8.4
15/07/2020,7,6,9,FENRIRFENRIR(C142),M L YeungM L Yeung,K H TingK H Ting,117,1147,3,3,"['8', '1', '1', '6']",1:40.59,56
15/07/2020,7,7,11,RED ELYSEESRED ELYSEES(A005),K TeetanK Teetan,K L ManK L Man,116,1142,6,3,"['9', '8', '9', '7']",1:40.62,8.2
15/07/2020,7,8,5,TURIN REDSTARTURIN REDSTAR(B092),K C LeungK C Leung,L HoL Ho,125,1136,8,3-1/4,"['3', '3', '3', '8']",1:40.64,23
15/07/2020,7,9,8,KASI FARASIKASI FARASI(B385),T H SoT H So,C H YipC H Yip,116,1044,5,4,"['7', '10', '8', '9']",1:40.75,53
15/07/2020,7,10,12,CHARITY WINGSCHARITY WINGS(B003),C WongC Wong,C S ShumC S Shum,110,1114,9,4-3/4,"['10', '9', '12', '10']",1:40.88,37
15/07/2020,7,11,10,JOYFUL HEARTJOYFUL HEART(C227),C SchofieldC Schofield,F C LorF C Lor,118,1158,12,5,"['11', '11', '10', '11']",1:40.93,23
15/07/2020,7,12,2,PICKENPICKEN(B311),K H ChanK H Chan,J SizeJ Size,125,1179,10,5,"['12', '12', '11', '12']",1:40.94,19
15/07/2020,8,1,11,SOLAR WAI WAISOLAR WAI WAI(C111),K TeetanK Teetan,F C LorF C Lor,116,1056,10,-,"['2', '2', '2', '1']",1:38.58,9.6
15/07/2020,8,2,6,MAGNIFICENTMAGNIFICENT(C121),H T MoH T Mo,L HoL Ho,118,1125,9,1-1/4,"['1', '1', '1', '2']",1:38.76,8
15/07/2020,8,3,5,GREEN LUCKGREEN LUCK(B413),C SchofieldC Schofield,C FownesC Fownes,121,1092,3,1-1/2,"['4', '3', '3', '3']",1:38.80,9.7
15/07/2020,8,4,8,SUNSHINE WARRIORSUNSHINE WARRIOR(C360),C Y HoC Y Ho,A S CruzA S Cruz,117,1116,1,2-1/2,"['5', '6', '6', '4']",1:38.98,7
15/07/2020,8,5,4,STAR SHINESTAR SHINE(B163),Z PurtonZ Purton,K W LuiK W Lui,126,1194,2,2-3/4,"['7', '7', '7', '5']",1:39.01,3.7
15/07/2020,8,6,9,EASY GO EASY WINEASY GO EASY WIN(B112),V BorgesV Borges,D J WhyteD J Whyte,116,1119,4,3,"['3', '4', '4', '6']",1:39.06,30
15/07/2020,8,7,3,SHINING GEMSHINING GEM(C058),K C LeungK C Leung,P F YiuP F Yiu,128,1160,6,3-1/4,"['8', '9', '9', '7']",1:39.12,26
15/07/2020,8,8,1,BUTTERFIELDBUTTERFIELD(C462),C L ChauC L Chau,C S ShumC S Shum,123,1117,5,3-1/2,"['6', '5', '5', '8']",1:39.15,6.1
15/07/2020,8,9,12,UNCLE STEVEUNCLE STEVE(C140),T H SoT H So,D J WhyteD J Whyte,114,1109,8,4-1/4,"['9', '8', '8', '9']",1:39.28,30
15/07/2020,8,10,2,INSAYSHABLEINSAYSHABLE(B156),B ShinnB Shinn,Y S TsuiY S Tsui,128,1070,12,4-1/2,"['12', '12', '12', '10']",1:39.29,29
15/07/2020,8,11,7,HIGH REVHIGH REV(C007),M F PoonM F Poon,D J HallD J Hall,115,1156,7,5-3/4,"['11', '10', '11', '11']",1:39.51,7.9
15/07/2020,8,12,10,HELENA BABYHELENA BABY(D213),M L YeungM L Yeung,J MooreJ Moore,116,1117,11,7-1/4,"['10', '11', '10', '12']",1:39.76,26
15/07/2020,9,1,3,WALDORFWALDORF(B253),K TeetanK Teetan,A S CruzA S Cruz,127,1096,1,-,"['10', '10', '1']",1:08.56,12
15/07/2020,9,2,11,HIGHLAND FORTUNEHIGHLAND FORTUNE(C292),C Y HoC Y Ho,K W LuiK W Lui,117,1071,10,N,"['8', '6', '2']",1:08.62,3.3
15/07/2020,9,3,1,SHINING ACESHINING ACE(C229),C SchofieldC Schofield,J SizeJ Size,133,1158,6,1-1/2,"['7', '8', '3']",1:08.78,13
15/07/2020,9,4,7,WINNING METHODWINNING METHOD(C383),M ChadwickM Chadwick,C S ShumC S Shum,120,1211,12,1-1/2,"['9', '9', '4']",1:08.81,8.1
15/07/2020,9,5,4,VICTORIAMVICTORIAM(C186),Z PurtonZ Purton,K W LuiK W Lui,126,1153,7,1-3/4,"['6', '7', '5']",1:08.83,3.9
15/07/2020,9,6,5,UGLY WARRIORUGLY WARRIOR(B083),C WongC Wong,Y S TsuiY S Tsui,119,1004,8,2,"['1', '1', '6']",1:08.90,87
15/07/2020,9,7,10,SPARKLING DRAGONSPARKLING DRAGON(B033),H T MoH T Mo,A T MillardA T Millard,113,1100,9,3,"['2', '2', '7']",1:09.03,32
15/07/2020,9,8,6,ENCORE BOYENCORE BOY(A177),T H SoT H So,P F YiuP F Yiu,120,1150,2,3-1/2,"['5', '3', '8']",1:09.10,11
15/07/2020,9,9,12,RACING FIGHTERRACING FIGHTER(B285),M F PoonM F Poon,C H YipC H Yip,113,1201,5,4-1/4,"['12', '12', '9']",1:09.24,20
15/07/2020,9,10,9,SUNNY BOYSUNNY BOY(A379),V BorgesV Borges,J MooreJ Moore,117,1220,11,5,"['4', '4', '10']",1:09.36,10
15/07/2020,9,11,8,SAUL'S SPECIALSAUL'S SPECIAL(A293),K H ChanK H Chan,C W ChangC W Chang,110,1111,3,8-1/2,"['11', '11', '11']",1:09.93,47
15/07/2020,9,12,2,YEE CHEONG BABYYEE CHEONG BABY(C273),C L ChauC L Chau,K H TingK H Ting,118,1195,4,16,"['3', '5', '12']",1:11.10,11
12/07/2020,1,1,7,KELMIMI WINSKELMIMI WINS(C419),J MoreiraJ Moreira,J MooreJ Moore,127,1073,2,-,"['5', '5', '6', '1']",1:22.00,3
12/07/2020,1,2,6,ADONISADONIS(A324),K TeetanK Teetan,D J WhyteD J Whyte,127,1083,9,NOSE,"['9', '10', '9', '2']",1:22.00,5.4
12/07/2020,1,3,11,TREASURE CHESTTREASURE CHEST(D008),K H ChanK H Chan,P F YiuP F Yiu,115,1044,5,1,"['4', '4', '4', '3']",1:22.15,4.6
12/07/2020,1,4,12,E GENERATIONE GENERATION(C322),M L YeungM L Yeung,C FownesC Fownes,119,1095,6,1-1/4,"['1', '2', '2', '4']",1:22.20,23
12/07/2020,1,5,4,WINNING CONTROLLERWINNING CONTROLLER(A075),B ShinnB Shinn,C H YipC H Yip,129,1081,3,1-1/2,"['6', '7', '5', '5']",1:22.24,31
12/07/2020,1,6,3,SPEEDY DRAGONSPEEDY DRAGON(B185),Z PurtonZ Purton,D J HallD J Hall,129,1060,14,3,"['12', '14', '11', '6']",1:22.47,10
12/07/2020,1,7,1,SHANGHAI DRAGONSHANGHAI DRAGON(B114),A HamelinA Hamelin,T P YungT P Yung,130,1168,7,3-3/4,"['3', '3', '3', '7']",1:22.59,6.8
12/07/2020,1,8,2,NITRO EXPRESSNITRO EXPRESS(T353),C SchofieldC Schofield,D E FerrarisD E Ferraris,129,1180,1,4-1/2,"['7', '6', '7', '8']",1:22.72,14
12/07/2020,1,9,14,CORRE RAPIDOCORRE RAPIDO(A053),C WongC Wong,R GibsonR Gibson,113,1152,8,4-1/2,"['2', '1', '1', '9']",1:22.73,100
12/07/2020,1,10,13,SPICY REALLYSPICY REALLY(C021),H N WongH N Wong,F C LorF C Lor,116,1049,10,5-3/4,"['10', '11', '12', '10']",1:22.93,98
12/07/2020,1,11,10,BRAVERY AND POWERBRAVERY AND POWER(C295),M F PoonM F Poon,W Y SoW Y So,121,1049,12,6-1/2,"['14', '9', '10', '11']",1:23.05,102
12/07/2020,1,12,8,AMAZING AGILITYAMAZING AGILITY(V192),H W LaiH W Lai,L HoL Ho,125,992,11,6-3/4,"['13', '13', '13', '12']",1:23.07,51
12/07/2020,1,13,9,ONE STEP AHEADONE STEP AHEAD(C242),N CallanN Callan,P O'SullivanP O'Sullivan,125,972,4,7-1/2,"['8', '8', '8', '13']",1:23.19,76
12/07/2020,1,14,5,DIAMOND LEGENDDIAMOND LEGEND(V341),H T MoH T Mo,A S CruzA S Cruz,125,1141,13,11-1/2,"['11', '12', '14', '14']",1:23.85,34
12/07/2020,2,1,14,VIGOR CHAMPVIGOR CHAMP(C498),M L YeungM L Yeung,K H TingK H Ting,117,1003,6,-,"['9', '6', '1']",1:09.24,24
12/07/2020,2,2,2,MONKEY JEWELLERYMONKEY JEWELLERY(B378),J MoreiraJ Moreira,J SizeJ Size,133,1075,4,SH,"['2', '2', '2']",1:09.25,7.2
12/07/2020,2,3,1,HELAKU KNIGHTHELAKU KNIGHT(C328),N CallanN Callan,J MooreJ Moore,133,1108,1,1,"['7', '7', '3']",1:09.41,44
12/07/2020,2,4,5,MIGHTY VALORMIGHTY VALOR(C338),Z PurtonZ Purton,P F YiuP F Yiu,132,1114,5,1,"['1', '1', '4']",1:09.42,1.6
12/07/2020,2,5,8,BRILLIANTBRILLIANT(C005),K C LeungK C Leung,K W LuiK W Lui,123,1000,8,2-1/4,"['12', '9', '5']",1:09.58,44
12/07/2020,2,6,4,HAPPY TIMEHAPPY TIME(B272),B ShinnB Shinn,W Y SoW Y So,132,1169,3,2-1/2,"['5', '3', '6']",1:09.66,17
12/07/2020,2,7,6,LUCKY PUZZLELUCKY PUZZLE(D112),K TeetanK Teetan,Y S TsuiY S Tsui,128,968,2,2-3/4,"['6', '8', '7']",1:09.70,17
12/07/2020,2,8,9,PRECIOUS SWEETIEPRECIOUS SWEETIE(B254),M F PoonM F Poon,L HoL Ho,121,1124,11,3,"['14', '11', '8']",1:09.72,42
12/07/2020,2,9,10,REGENCY POETREGENCY POET(D010),M ChadwickM Chadwick,K L ManK L Man,123,1207,12,3-1/4,"['3', '4', '9']",1:09.77,39
12/07/2020,2,10,3,SIMPLY FLUKESIMPLY FLUKE(C352),C L ChauC L Chau,D J WhyteD J Whyte,123,1100,7,4-1/2,"['11', '12', '10']",1:09.98,8
12/07/2020,2,11,11,ALL FOR ST PAUL'SALL FOR ST PAUL'S(C517),K H ChanK H Chan,F C LorF C Lor,113,1042,14,5-1/2,"['8', '10', '11']",1:10.11,15
12/07/2020,2,12,12,GLORIOUS BUDDYGLORIOUS BUDDY(C405),T H SoT H So,D J HallD J Hall,118,1033,10,7,"['13', '14', '12']",1:10.35,221
12/07/2020,2,13,13,GREAT SONGREAT SON(A423),H N WongH N Wong,P O'SullivanP O'Sullivan,116,1050,13,7-1/2,"['4', '5', '13']",1:10.43,110
12/07/2020,2,14,7,WONDERFUL TIMESWONDERFUL TIMES(D135),A HamelinA Hamelin,A T MillardA T Millard,124,1090,9,15,"['10', '13', '14']",1:11.64,189
12/07/2020,3,1,3,CIRCUIT HASSLERCIRCUIT HASSLER(A041),K TeetanK Teetan,A S CruzA S Cruz,131,1170,11,-,"['4', '4', '3', '1']",1:21.74,4.7
12/07/2020,3,2,2,LEADING FORTUNELEADING FORTUNE(C441),N CallanN Callan,J SizeJ Size,133,1091,2,1-1/4,"['5', '6', '5', '2']",1:21.94,4.9
12/07/2020,3,3,10,ROMAN IMPEROROMAN IMPERO(V371),K H ChanK H Chan,C H YipC H Yip,116,1203,1,2-3/4,"['6', '7', '6', '3']",1:22.18,24
12/07/2020,3,4,12,SMART CHARADESMART CHARADE(A314),J MoreiraJ Moreira,W Y SoW Y So,121,1171,7,2-3/4,"['9', '8', '7', '4']",1:22.19,3.1
12/07/2020,3,5,13,WINWIN THIRTYTHREEWINWIN THIRTYTHREE(C110),M F PoonM F Poon,P F YiuP F Yiu,117,1008,9,3-1/4,"['12', '12', '8', '5']",1:22.25,13
12/07/2020,3,6,4,MIGHTY POWERMIGHTY POWER(C094),C L ChauC L Chau,T P YungT P Yung,118,1034,4,3-1/2,"['3', '3', '4', '6']",1:22.31,11
12/07/2020,3,7,7,MY WINNERMY WINNER(B197),A HamelinA Hamelin,R GibsonR Gibson,125,1135,14,3-3/4,"['13', '13', '12', '7']",1:22.34,23
12/07/2020,3,8,5,SOLAR POWERSOLAR POWER(C407),M L YeungM L Yeung,L HoL Ho,128,1100,12,4,"['11', '10', '11', '8']",1:22.38,29
12/07/2020,3,9,1,GOOD SHOTGOOD SHOT(C364),Z PurtonZ Purton,D J HallD J Hall,133,1012,8,5,"['2', '2', '2', '9']",1:22.54,27
12/07/2020,3,10,6,SMART WONGCHOYSMART WONGCHOY(D208),C SchofieldC Schofield,D J WhyteD J Whyte,126,1089,5,5,"['1', '1', '1', '10']",1:22.55,8.1
12/07/2020,3,11,9,JOYFUL CHEERSJOYFUL CHEERS(C536),H W LaiH W Lai,C S ShumC S Shum,124,1134,3,6-3/4,"['8', '9', '10', '11']",1:22.83,230
12/07/2020,3,12,14,SPICY GRILLSPICY GRILL(D159),H T MoH T Mo,K W LuiK W Lui,115,985,10,8-1/4,"['14', '14', '14', '12']",1:23.05,36
12/07/2020,3,13,11,PRIME TIMEPRIME TIME(D011),H N WongH N Wong,Y S TsuiY S Tsui,118,1141,13,11-1/2,"['10', '11', '13', '13']",1:23.57,272
12/07/2020,3,14,8,RED ZOFFANYRED ZOFFANY(D211),C WongC Wong,K L ManK L Man,114,1062,6,13-1/2,"['7', '5', '9', '14']",1:23.88,239
12/07/2020,3,WV,,WIN FOR YOUTHWIN FOR YOUTH(D046),T H SoT H So,K H TingK H Ting,123,---,---,---,---,---,---
12/07/2020,4,1,2,FAST MOST FURIOUSFAST MOST FURIOUS(A165),Z PurtonZ Purton,D J HallD J Hall,130,1131,1,-,"['5', '6', '5', '1']",1:34.28,2.9
12/07/2020,4,2,4,PRECIOUSSHIPPRECIOUSSHIP(C050),C L ChauC L Chau,P F YiuP F Yiu,117,1002,7,1/2,"['8', '8', '7', '2']",1:34.34,8.1
12/07/2020,4,3,7,SAVVY NINESAVVY NINE(D056),M L YeungM L Yeung,J MooreJ Moore,121,1090,2,1,"['4', '5', '6', '3']",1:34.41,12
12/07/2020,4,4,8,GENERAL'S DELIGHTGENERAL'S DELIGHT(D022),K TeetanK Teetan,D J WhyteD J Whyte,118,1238,4,1-1/4,"['3', '4', '3', '4']",1:34.43,2.5
