Date,Race Number,Place,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declare. Horse Wt.,Draw,LBW,Running Position,Finish Time,Win Odds
23/10/2019,3,3,10,SPEEDY WALLYSPEEDY WALLY(T002),Z PurtonZ Purton,C FownesC Fownes,123,1149,11,1-1/2,"['10', '9', '3', '3']",1:41.07,4.9
23/10/2019,3,4,4,CIRCUIT NUMBER ONECIRCUIT NUMBER ONE(B373),H T MoH T Mo,A S CruzA S Cruz,125,1065,4,1-3/4,"['1', '1', '2', '4']",1:41.11,17
23/10/2019,3,5,1,AMAZING SATCHMOAMAZING SATCHMO(A363),K TeetanK Teetan,D E FerrarisD E Ferraris,133,1251,2,2-1/4,"['7', '8', '9', '5']",1:41.21,3.8
23/10/2019,3,6,2,PLAY WISEPLAY WISE(A411),M F PoonM F Poon,C H YipC H Yip,131,1058,12,2-1/2,"['12', '11', '7', '6']",1:41.23,15
23/10/2019,3,7,9,MISCHIEVOUS SUNDAEMISCHIEVOUS SUNDAE(C016),J MoreiraJ Moreira,J SizeJ Size,123,1058,7,4-3/4,"['3', '4', '4', '7']",1:41.58,2.9
23/10/2019,3,8,7,CHIU CHOW KIDCHIU CHOW KID(T412),A SannaA Sanna,T P YungT P Yung,124,1177,8,5-1/2,"['11', '12', '11', '8']",1:41.69,49
23/10/2019,3,9,11,THE FULL BLOOMTHE FULL BLOOM(V243),T H SoT H So,C H YipC H Yip,116,1040,1,5-3/4,"['5', '5', '12', '9']",1:41.73,33
23/10/2019,3,10,5,SOCKET ELITESOCKET ELITE(C362),N CallanN Callan,C H YipC H Yip,127,1024,6,6-1/2,"['6', '6', '6', '10']",1:41.87,132
23/10/2019,3,11,6,THOU SHALL SINGTHOU SHALL SING(B047),K C LeungK C Leung,W Y SoW Y So,127,1066,3,8-3/4,"['4', '3', '10', '11']",1:42.24,10
23/10/2019,3,12,12,MULTIMAXMULTIMAX(T129),H N WongH N Wong,L HoL Ho,114,1197,10,14-1/2,"['2', '2', '8', '12']",1:43.17,103
23/10/2019,4,1,9,PLAYA DEL PUENTEPLAYA DEL PUENTE(C492),J MoreiraJ Moreira,C S ShumC S Shum,118,1087,1,-,"['1', '1', '1', '1']",1:39.60,2.7
23/10/2019,4,2,5,HAPPY DRAGONHAPPY DRAGON(B099),M ChadwickM Chadwick,J MooreJ Moore,125,1165,2,3,"['3', '3', '3', '2']",1:40.07,7.5
23/10/2019,4,3,2,NOT USUAL TALENTNOT USUAL TALENT(C095),Z PurtonZ Purton,T P YungT P Yung,133,1100,3,3-1/4,"['2', '2', '2', '3']",1:40.13,2.5
23/10/2019,4,4,1,HELENE CHARISMAHELENE CHARISMA(A129),G van NiekerkG van Niekerk,J MooreJ Moore,133,1090,6,4-1/2,"['6', '6', '6', '4']",1:40.33,10
23/10/2019,4,5,8,BRAVE LEGENDBRAVE LEGEND(A260),A DomeyerA Domeyer,A S CruzA S Cruz,122,1167,5,7-1/2,"['5', '5', '5', '5']",1:40.82,17
23/10/2019,4,6,3,RUTHVENRUTHVEN(B160),R BaylissR Bayliss,F C LorF C Lor,132,1187,9,7-3/4,"['8', '8', '7', '6']",1:40.86,18
23/10/2019,4,7,7,GOOD OMENGOOD OMEN(B208),A SannaA Sanna,D J WhyteD J Whyte,124,1056,8,9-3/4,"['9', '9', '9', '7']",1:41.15,42
23/10/2019,4,8,4,MR SO AND SOMR SO AND SO(B412),K TeetanK Teetan,J SizeJ Size,127,1027,7,10-1/4,"['7', '7', '8', '8']",1:41.24,23
23/10/2019,4,9,6,JOYFUL TRINITYJOYFUL TRINITY(V110),N CallanN Callan,C FownesC Fownes,125,1179,4,29-1/2,"['4', '4', '4', '9']",1:44.31,26
23/10/2019,5,1,1,VERY RICH MANVERY RICH MAN(V286),H T MoH T Mo,L HoL Ho,130,1070,6,-,"['2', '2', '1']",1:10.03,7.2
23/10/2019,5,2,6,IRON BOYIRON BOY(V071),J MoreiraJ Moreira,D J WhyteD J Whyte,124,1157,10,1,"['9', '8', '2']",1:10.19,11
